comparison,feature,mean_a,mean_b,std_a,std_b,cohens_d,mannwhitney_p,p_adjusted,significant_fdr
antibiotics,h1_count,28.0,24.0,5.7758,5.7271,0.6885,0.001602,0.009611999999999999,True
antibiotics,h1_entropy,2.9248,2.7803,0.2146,0.2439,0.6228,0.004656,0.0167616,True
antibiotics,h1_total_persistence,0.9511,0.7875,0.2744,0.2277,0.6423,0.006401,0.019202999999999998,True
antibiotics,h1_mean_lifetime,0.0339,0.0329,0.0064,0.0064,0.1537,0.346702,0.41604240000000003,False
antibiotics,h1_max_lifetime,0.1231,0.1091,0.028,0.0317,0.4627,0.015979,0.028762199999999998,True
antibiotics,max_betti1,7.04,7.08,1.8543,2.1526,-0.0197,0.963704,0.963704,False
ibd,h1_count,25.12,23.2,5.3203,5.4699,0.3523,0.09246,0.12802153846153846,False
ibd,h1_entropy,2.8273,2.7175,0.2336,0.2647,0.4353,0.063185,0.10339363636363638,False
ibd,h1_total_persistence,0.7782,0.797,0.2548,0.2057,-0.0807,0.47553,0.53497125,False
ibd,h1_mean_lifetime,0.0308,0.0349,0.0071,0.0078,-0.5506,0.01023,0.02046,True
ibd,h1_max_lifetime,0.1124,0.1247,0.039,0.0266,-0.3631,0.073623,0.11043449999999999,False
ibd,max_betti1,5.4,7.0,2.1817,2.3324,-0.7014,0.000244,0.002196,True
diet,h1_count,25.92,24.8,5.4031,5.2536,0.2081,0.264671,0.3402912857142857,False
diet,h1_entropy,2.8264,2.8036,0.2388,0.2547,0.0917,0.564863,0.5980902352941176,False
diet,h1_total_persistence,0.9756,0.8333,0.2797,0.2254,0.5547,0.008539,0.01921275,True
diet,h1_mean_lifetime,0.0376,0.0338,0.0071,0.0068,0.5433,0.007871,0.01921275,True
diet,h1_max_lifetime,0.1376,0.1116,0.0319,0.0303,0.8253,0.000194,0.002196,True
diet,max_betti1,8.38,6.96,2.529,1.9896,0.6178,0.004421,0.0167616,True
