feature,mean_a,mean_b,mean_delta,cohens_d,wilcoxon_p,permutation_p,n_iter,n_a,n_b,subsample_a,subsample_b,comparison,subset,perm_p_fdr,sig_perm_fdr,wilcox_p_fdr,sig_wilcox_fdr
h1_count,25.12,23.51,1.61,0.31,0.002975,0.003992,200,479,1284,100,100,antibiotics,matched,0.0071856,True,0.00595,True
h1_entropy,2.8059,2.7526,0.0533,0.2332,0.024761,0.013972,200,479,1284,100,100,antibiotics,matched,0.02286327272727273,True,0.03565584,True
h1_total_persistence,0.8417,0.7897,0.052,0.2677,0.009757,0.017964,200,479,1284,100,100,antibiotics,matched,0.026946,True,0.016726285714285714,True
h1_mean_lifetime,0.0338,0.0338,0.0,0.0032,0.732616,0.974052,200,479,1284,100,100,antibiotics,matched,0.974052,False,0.7535478857142858,False
h1_max_lifetime,0.1209,0.1176,0.0034,0.1105,0.308858,0.285429,200,479,1284,100,100,antibiotics,matched,0.321107625,False,0.350082,False
max_betti1,6.73,7.225,-0.495,-0.2413,0.046101,0.013972,200,479,1284,100,100,antibiotics,matched,0.02286327272727273,True,0.06383215384615384,False
h1_count,24.97,24.005,0.965,0.1886,0.115738,0.06986,200,590,2271,100,100,antibiotics,full,0.08982000000000001,False,0.15431733333333333,False
h1_entropy,2.8067,2.782,0.0247,0.1071,0.238524,0.279441,200,590,2271,100,100,antibiotics,full,0.321107625,False,0.2960987586206897,False
h1_total_persistence,0.8126,0.7861,0.0264,0.1277,0.305966,0.237525,200,590,2271,100,100,antibiotics,full,0.28502999999999995,False,0.350082,False
h1_mean_lifetime,0.0328,0.0329,-0.0,-0.0073,0.61431,0.946108,200,590,2271,100,100,antibiotics,full,0.974052,False,0.6504458823529412,False
h1_max_lifetime,0.1157,0.1121,0.0036,0.1261,0.311184,0.217565,200,590,2271,100,100,antibiotics,full,0.2700806896551724,False,0.350082,False
max_betti1,6.475,7.29,-0.815,-0.3872,0.000265,0.001996,200,590,2271,100,100,antibiotics,full,0.003992,True,0.00059625,True
h1_count,16.285,24.205,-7.92,-1.7963,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
h1_entropy,2.3435,2.7824,-0.4389,-1.7333,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
h1_total_persistence,0.4022,0.7674,-0.3652,-2.2176,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
h1_mean_lifetime,0.0253,0.0318,-0.0065,-1.0422,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
h1_max_lifetime,0.0857,0.1111,-0.0253,-0.9141,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
max_betti1,3.29,6.99,-3.7,-2.3213,0.0,0.001996,200,135,404,100,100,ibd,matched,0.003992,True,0.0,True
h1_count,16.865,23.655,-6.79,-1.3387,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
h1_entropy,2.4033,2.749,-0.3456,-1.2312,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
h1_total_persistence,0.3973,0.7945,-0.3971,-2.2748,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
h1_mean_lifetime,0.0237,0.034,-0.0102,-1.6456,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
h1_max_lifetime,0.0797,0.1186,-0.039,-1.4465,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
max_betti1,3.435,7.085,-3.65,-2.0673,0.0,0.001996,200,165,3084,100,100,ibd,full,0.003992,True,0.0,True
h1_count,22.785,23.67,-0.885,-0.1868,0.132227,0.055888,200,308,922,100,100,diet,matched,0.07451733333333334,False,0.17000614285714288,False
h1_entropy,2.7398,2.7407,-0.0009,-0.004,0.847126,0.972056,200,308,922,100,100,diet,matched,0.974052,False,0.847126,False
h1_total_persistence,0.8061,0.7921,0.014,0.0692,0.395749,0.491018,200,308,922,100,100,diet,matched,0.535656,False,0.43172618181818184,False
h1_mean_lifetime,0.0356,0.0337,0.0019,0.2853,0.007591,0.001996,200,308,922,100,100,diet,matched,0.003992,True,0.013663799999999999,True
h1_max_lifetime,0.1159,0.1237,-0.0078,-0.2492,0.020087,0.015968,200,308,922,100,100,diet,matched,0.02499339130434783,True,0.031440521739130436,True
max_betti1,7.915,6.725,1.19,0.5523,0.0,0.001996,200,308,922,100,100,diet,matched,0.003992,True,0.0,True
h1_count,22.31,23.96,-1.65,-0.3374,0.001319,0.003992,200,367,2747,100,100,diet,full,0.0071856,True,0.0027931764705882356,True
h1_entropy,2.709,2.762,-0.053,-0.2327,0.01965,0.01996,200,367,2747,100,100,diet,full,0.028742399999999998,True,0.031440521739130436,True
h1_total_persistence,0.8149,0.7675,0.0474,0.2223,0.023685,0.021956,200,367,2747,100,100,diet,full,0.030400615384615384,True,0.035527500000000004,True
h1_mean_lifetime,0.0367,0.0322,0.0045,0.6497,0.0,0.001996,200,367,2747,100,100,diet,full,0.003992,True,0.0,True
h1_max_lifetime,0.1225,0.1128,0.0097,0.3227,0.007347,0.001996,200,367,2747,100,100,diet,full,0.003992,True,0.013663799999999999,True
max_betti1,7.74,6.705,1.035,0.4622,2e-06,0.001996,200,367,2747,100,100,diet,full,0.003992,True,4.8e-06,True
