dimension,feature,mean_ibd,mean_healthy,mean_delta,cohens_d,permutation_p,wilcoxon_p
H1,h1_count,29.555,39.38,-9.825,-2.0638,0.001996,0.0
H1,h1_entropy,3.0076,3.2888,-0.2812,-1.7832,0.001996,0.0
H1,h1_total_persistence,1.275,2.0875,-0.8125,-2.8312,0.001996,0.0
H1,h1_mean_lifetime,0.0433,0.0533,-0.0101,-1.4065,0.001996,0.0
H1,h1_max_lifetime,0.1462,0.1851,-0.0389,-1.34,0.001996,0.0
H1,max_betti1,10.885,14.68,-3.795,-1.3318,0.001996,0.0
H2,h2_count,20.025,34.985,-14.96,-2.149,0.001996,0.0
H2,h2_entropy,2.6149,3.223,-0.6081,-1.7903,0.001996,0.0
H2,h2_total_persistence,0.4505,0.9672,-0.5167,-2.2766,0.001996,0.0
H2,h2_mean_lifetime,0.0223,0.0275,-0.0052,-1.1308,0.001996,0.0
H2,h2_max_lifetime,0.0633,0.0848,-0.0216,-1.2986,0.001996,0.0
H2,max_betti2,8.495,14.435,-5.94,-1.5717,0.001996,0.0
